['Punto Toxico', 'Rivalidad', 'Entusiasmo'],0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,62,5120,70,365,120,Veneno Pin Pokémon,67,1059860,0.8,70,Nidorinaニドリーナ,Nidorina,0,30,55,55,56,Veneno,,20.0,1,0
['Punto Toxico', 'Rivalidad', 'Potencia Bruta'],0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,92,5120,70,505,45,Drill Pokémon,87,1059860,1.3,90,Nidoqueenニドクイン,Nidoqueen,0,31,75,85,76,Veneno,Tierra,60.0,1,0
['Punto Toxico', 'Rivalidad', 'Entusiasmo'],0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,57,5120,70,273,235,Veneno Pin Pokémon,40,1059860,0.5,46,Nidoran?ニドラン♂,Nidoran♂,100,32,40,40,50,Veneno,,9.0,1,0
['Punto Toxico', 'Rivalidad', 'Entusiasmo'],0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,72,5120,70,365,120,Veneno Pin Pokémon,57,1059860,0.9,61,Nidorinoニドリーノ,Nidorino,100,33,55,55,65,Veneno,,19.5,1,0
['Punto Toxico', 'Rivalidad', 'Potencia Bruta'],0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,102,5120,70,505,45,Drill Pokémon,77,1059860,1.4,81,Nidokingニドキング,Nidoking,100,34,85,75,85,Veneno,Tierra,62.0,1,0
['Gran Encanto', 'Muro Magico', 'Compiescolta'],0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,45,2560,140,323,150,Hada Pokémon,48,800000,0.6,70,Pippiピッピ,CleHada,24.6,35,60,65,35,Hada,,7.5,1,0
['Gran Encanto', 'Muro Magico', 'Ignorante'],0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,70,2560,140,483,25,Hada Pokémon,73,800000,1.3,95,Pixyピクシー,Clefable,24.6,36,95,90,60,Hada,,40.0,1,0
['Absorbe fuego', 'Sequia', 'Manto niveo', 'Nevada'],0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,41,5120,70,299,190,Fox Pokémon,40,1000000,,38,Rokonロコン,Vulpix,24.6,37,50,65,65,Fuego,Hielo,,1,0
['Absorbe fuego', 'Sequia', 'Manto niveo', 'Nevada'],0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,67,5120,70,505,75,Fox Pokémon,75,1000000,,73,Kyukonキュウコン,Ninetales,24.6,38,81,100,109,Fuego,Hielo,,1,0
['Gran Encanto', 'Tenacidad', 'Compiescolta'],0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,45,2560,70,270,170,Balloon Pokémon,20,800000,0.5,115,Purinプリン,Jigglypuff,24.6,39,45,25,20,Normal,Hada,5.5,1,0
['Gran Encanto', 'Tenacidad', 'Cacheo'],0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,70,2560,70,435,50,Balloon Pokémon,45,800000,1.0,140,Pukurinプクリン,Wigglytuff,24.6,40,85,50,45,Normal,Hada,12.0,1,0
['Foco interno', 'Allanamiento'],0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,45,3840,70,245,255,Bat Pokémon,35,1000000,0.8,40,Zubatズバット,Zubat,50,41,30,40,55,Veneno,Volador,7.5,1,0
['Foco interno', 'Allanamiento'],0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,80,3840,70,455,90,Bat Pokémon,70,1000000,1.6,75,Golbatゴルバット,Golbat,50,42,65,75,90,Veneno,Volador,55.0,1,0
['Clorofila', 'Fuga'],1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,50,5120,70,320,255,Weed Pokémon,55,1059860,0.5,45,Nazonokusaナゾノクサ,Oddish,50,43,75,65,30,Planta,Veneno,5.4,1,0
['Clorofila', 'Hedor'],1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,65,5120,70,395,120,Weed Pokémon,70,1059860,0.8,60,Kusaihanaクサイハナ,Gloom,50,44,85,75,40,Planta,Veneno,8.6,1,0
['Clorofila', 'Efecto Espora'],1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,80,5120,70,490,45,Flower Pokémon,85,1059860,1.2,75,Ruffresiaラフレシア,Vileplume,50,45,110,90,50,Planta,Veneno,18.6,1,0
['Efecto Espora', 'Piel Seca', 'Humedad'],2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,70,5120,70,285,190,Mushroom Pokémon,55,1000000,0.3,35,Parasパラス,Paras,50,46,45,55,25,Bicho,Planta,5.4,1,0
['Efecto Espora', 'Piel Seca', 'Humedad'],2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,95,5120,70,405,75,Mushroom Pokémon,80,1000000,1.0,60,Parasectパラセクト,Parasect,50,47,60,80,30,Bicho,Planta,29.5,1,0
['Ojo Compuesto', 'Cromolente', 'Fuga'],0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,55,5120,70,305,190,Insect Pokémon,50,1000000,1.0,60,Kongpangコンパン,Venonat,50,48,40,55,45,Bicho,Veneno,30.0,1,0
['Polvo Escudo', 'Cromolente', 'Piel Milagro '],0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,65,5120,70,450,75,Veneno Moth Pokémon,60,1000000,1.5,70,Morphonモルフォン,Venomoth,50,49,90,75,90,Bicho,Veneno,12.5,1,0
['Velo Arena', 'Trampa Arena', 'Poder Arena', 'Velo Arena', 'Rizos Rebeldes', 'Poder Arena'],1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,55,5120,70,265,255,Mole Pokémon,30,1000000,,10,Digdaディグダ,Diglett,50,50,35,45,90,Tierra,Tierra,,1,0
['Velo Arena', 'Trampa Arena', 'Poder Arena', 'Velo Arena', 'Rizos Rebeldes', 'Poder Arena'],1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,100,5120,70,425,50,Mole Pokémon,60,1000000,,35,Dugtrioダグトリオ,Dugtrio,50,51,50,70,110,Tierra,Tierra,,1,0
['Recogida', 'Experto', 'Nerviosismo', 'Recogida', 'Experto', 'Cobardia'],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,35,5120,70,290,255,Scratch Cat Pokémon,35,1000000,,40,Nyarthニャース,Meowth,50,52,50,40,90,Normal,Siniestro,,1,0
['Flexibilidad', 'Experto', 'Nerviosismo', 'Pelaje Recio', 'Experto', 'Cobardia'],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,60,5120,70,440,90,Classy Cat Pokémon,60,1000000,,65,Persianペルシアン,Persian,50,53,75,65,115,Normal,Siniestro,,1,0
['Humedad', 'Aclimatacion', 'Nado Rapido'],1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,52,5120,70,320,190,Duck Pokémon,48,1000000,0.8,50,Koduckコダック,Psyduck,50,54,65,50,55,Agua,,19.6,1,0
['Humedad', 'Aclimatacion', 'Nado Rapido'],1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,82,5120,70,500,75,Duck Pokémon,78,1000000,1.7,80,Golduckゴルダック,Golduck,50,55,95,80,85,Agua,,76.6,1,0
['Espiritu Vital', 'Irascible', 'Competitivo'],0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,80,5120,70,305,190,Pig Monkey Pokémon,35,1000000,0.5,40,Mankeyマンキー,Mankey,50,56,35,45,70,Luchaing,,28.0,1,0
['Espiritu Vital', 'Irascible', 'Competitivo'],0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,105,5120,70,455,75,Pig Monkey Pokémon,60,1000000,1.0,65,Okorizaruオコリザル,Primeape,50,57,60,70,95,Luchaing,,32.0,1,0
['Intimidacion', 'Absorbe fuego', 'Justiciero'],0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,70,5120,70,350,190,Puppy Pokémon,45,1250000,0.7,55,Gardieガーディ,Growlithe,75.4,58,70,50,60,Fuego,,19.0,1,0
['Intimidacion', 'Absorbe fuego', 'Justiciero'],0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,110,5120,70,555,75,Legendary Pokémon,80,1250000,1.9,90,Windieウインディ,Arcanine,75.4,59,100,80,95,Fuego,,155.0,1,0
['Absorb Agua', 'Humedad', 'Nado Rapido'],1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,5120,70,300,255,Tadpole Pokémon,40,1059860,0.6,40,Nyoromoニョロモ,Poliwag,50,60,40,40,90,Agua,,12.4,1,0
['Absorb Agua', 'Humedad', 'Nado Rapido'],1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,5120,70,385,120,Tadpole Pokémon,65,1059860,1.0,65,Nyorozoニョロゾ,Poliwhirl,50,61,50,50,90,Agua,,20.0,1,0
['Absorb Agua', 'Humedad', 'Nado Rapido'],0.5,0.5,1,2,2,1,0.5,2,1,2,1,0.5,1,1,2,0.5,0.5,0.5,95,5120,70,510,45,Tadpole Pokémon,95,1059860,1.3,90,Nyorobonニョロボン,Poliwrath,50,62,70,90,70,Agua,Luchaing,54.0,1,0
['Sincronia', 'Foco interno', 'Muro Magico'],2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,20,5120,70,310,200,Psi Pokémon,15,1059860,0.9,25,Caseyケーシィ,Abra,75.4,63,105,55,90,Psiquico,,19.5,1,0
['Sincronia', 'Foco interno', 'Muro Magico'],2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,35,5120,70,400,100,Psi Pokémon,30,1059860,1.3,40,Yungererユンゲラー,Kadabra,75.4,64,120,70,105,Psiquico,,56.5,1,0
['Sincronia', 'Foco interno', 'Muro Magico'],2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,50,5120,70,600,50,Psi Pokémon,65,1059860,1.5,55,Foodinフーディン,Alakazam,75.4,65,175,105,150,Psiquico,,48.0,1,0
['Agallas', 'Indefenso', 'Impasible'],0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,80,5120,70,305,180,Superpower Pokémon,50,1059860,0.8,70,Wanrikyワンリキー,Machop,75.4,66,35,35,35,Luchaing,,19.5,1,0
['Agallas', 'Indefenso', 'Impasible'],0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,100,5120,70,405,90,Superpower Pokémon,70,1059860,1.5,80,Gorikyゴーリキー,Machoke,75.4,67,50,60,45,Luchaing,,70.5,1,0
['Agallas', 'Indefenso', 'Impasible'],0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,130,5120,70,505,45,Superpower Pokémon,80,1059860,1.6,90,Kairikyカイリキー,Machamp,75.4,68,65,85,55,Luchaing,,130.0,1,0
['Clorofila', 'Gula'],1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,75,5120,70,300,255,Flower Pokémon,35,1059860,0.7,50,Madatsubomiマダツボミ,Bellsprout,50,69,70,30,40,Planta,Veneno,4.0,1,0
['Clorofila', 'Gula'],1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,90,5120,70,390,120,Flycatcher Pokémon,50,1059860,1.0,65,Utsudonウツドン,Weepinbell,50,70,85,45,55,Planta,Veneno,6.4,1,0
['Clorofila', 'Gula'],1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,105,5120,70,490,45,Flycatcher Pokémon,65,1059860,1.7,80,Utsubotウツボット,Victreebel,50,71,100,70,70,Planta,Veneno,15.5,1,0
['Cuerpo Puro', 'Lodo Liquido', 'Cura Lluvia'],0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,40,5120,70,335,190,Jellyfish Pokémon,35,1250000,0.9,40,Menokurageメノクラゲ,Tentacool,50,72,50,100,70,Agua,Veneno,45.5,1,0
['Cuerpo Puro', 'Lodo Liquido', 'Cura Lluvia'],0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,70,5120,70,515,60,Jellyfish Pokémon,65,1250000,1.6,80,Dokukurageドククラゲ,Tentacruel,50,73,80,120,100,Agua,Veneno,55.0,1,0
['Cabeza Roca', 'Robustez', 'Velo Arena', 'Iman', 'Robustez', 'Piel Electrica'],1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,80,3840,70,300,255,Roca Pokémon,100,1059860,,40,Isitsubuteイシツブテ,Geodude,50,74,30,30,20,Roca,Tierra,,1,0
['Cabeza Roca', 'Robustez', 'Velo Arena', 'Iman', 'Robustez', 'Piel Electrica'],1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,95,3840,70,390,120,Roca Pokémon,115,1059860,,55,Goloneゴローン,Graveler,50,75,45,45,35,Roca,Tierra,,1,0
['Cabeza Roca', 'Robustez', 'Velo Arena', 'Iman', 'Robustez', 'Piel Electrica'],1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,120,3840,70,495,45,Megaton Pokémon,130,1059860,,80,Golonyaゴローニャ,Golem,50,76,55,65,45,Roca,Tierra,,1,0
['Fuga', 'Absorbe fuego', 'Cuerpo Llama'],0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,85,5120,70,410,190,Fuego Horse Pokémon,55,1000000,1.0,50,Ponytaポニータ,Ponyta,50,77,65,65,90,Fuego,,30.0,1,0
['Fuga', 'Absorbe fuego', 'Cuerpo Llama'],0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,100,5120,70,500,60,Fuego Horse Pokémon,70,1000000,1.7,65,Gallopギャロップ,Rapidash,50,78,80,80,105,Fuego,,95.0,1,0
['Despiste', 'Ritmo propio', 'Regeneracion'],2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,65,5120,70,315,190,Dopey Pokémon,65,1000000,1.2,90,Yadonヤドン,Slowpoke,50,79,40,40,15,Agua,Psiquico,36.0,1,0
['Despiste', 'Ritmo propio', 'Regeneracion'],2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,75,5120,70,590,75,Hermit Crab Pokémon,180,1000000,1.6,95,Yadoranヤドラン,Slowbro,50,80,130,80,30,Agua,Psiquico,78.5,1,0
['Iman', 'Robustez', 'Calculo Final'],0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1,35,5120,70,325,190,Magnet Pokémon,70,1000000,0.3,25,Coilコイル,Magnemite,,81,95,55,45,Electrico,Acero,6.0,1,0
['Iman', 'Robustez', 'Calculo Final'],0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1,60,5120,70,465,60,Magnet Pokémon,95,1000000,1.0,50,Rarecoilレアコイル,Magneton,,82,120,70,70,Electrico,Acero,60.0,1,0
['Vista Lince', 'Foco interno', 'Competitivo'],0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,90,5120,70,377,45,Wild Duck Pokémon,55,1000000,0.8,52,Kamonegiカモネギ,Farfetch'd,50,83,58,62,60,Normal,Volador,15.0,1,0
['Fuga', 'Madrugar', 'Tumbos'],0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,85,5120,70,310,190,Twin Bird Pokémon,45,1000000,1.4,35,Dodoドードー,Doduo,50,84,35,35,75,Normal,Volador,39.2,1,0
['Fuga', 'Madrugar', 'Tumbos'],0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,110,5120,70,470,45,Triple Bird Pokémon,70,1000000,1.8,60,Dodorioドードリオ,Dodrio,50,85,60,60,110,Normal,Volador,85.2,1,0
['Sebo', 'Hidratacion', 'Gelido'],1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,45,5120,70,325,190,Sea Lion Pokémon,55,1000000,1.1,65,Pawouパウワウ,Seel,50,86,45,70,45,Agua,,90.0,1,0
['Sebo', 'Hidratacion', 'Gelido'],1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,70,5120,70,475,75,Sea Lion Pokémon,80,1000000,1.7,90,Jugonジュゴン,Dewgong,50,87,70,95,70,Agua,Hielo,120.0,1,0
['Hedor', 'Viscosidad', 'Toque Toxico', 'Toque Toxico', 'Gula', 'Reaccion Quimica'],0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,80,5120,70,325,190,Sludge Pokémon,50,1000000,,80,Betbeterベトベター,Grimer,50,88,40,50,25,Veneno,Veneno,,1,0
['Hedor', 'Viscosidad', 'Toque Toxico', 'Toque Toxico', 'Gula', 'Reaccion Quimica'],0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,105,5120,70,500,75,Sludge Pokémon,75,1000000,,105,Betbetonベトベトン,Muk,50,89,65,100,50,Veneno,Veneno,,1,0
['Caparazon', 'Encadenado', 'Funda'],1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,5120,70,305,190,Bivalve Pokémon,100,1250000,0.3,30,Shellderシェルダー,Shellder,50,90,45,25,40,Agua,,4.0,1,0
['Caparazon', 'Encadenado', 'Funda'],1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,95,5120,70,525,60,Bivalve Pokémon,180,1250000,1.5,50,Parshenパルシェン,Cloyster,50,91,85,45,70,Agua,Hielo,132.5,1,0
['Levitacion'],0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,35,5120,70,310,190,Gas Pokémon,30,1059860,1.3,30,Ghosゴース,Gastly,50,92,100,35,80,Fantasma,Veneno,0.1,1,0
['Levitacion'],0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,50,5120,70,405,90,Gas Pokémon,45,1059860,1.6,45,Fantasmaゴースト,Haunter,50,93,115,55,95,Fantasma,Veneno,0.1,1,0
['Cuerpo Maldito'],0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,65,5120,70,600,45,Shadow Pokémon,80,1059860,1.5,60,Gangarゲンガー,Gengar,50,94,170,95,130,Fantasma,Veneno,40.5,1,0
